Loss,State,Policy,Hamming_distance
0.05423185955305598,0.10000000149011612,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.20686012906077167,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.012927721882903143,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.036307320247544794,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.057457570108818246,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.024458647699471148,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0279532456865903,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.18808121667831124,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.09114503277365316,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.027182776651656637,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.03577992038644595,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.036644531278256176,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011275033299765147,0.20000000298023224,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.22058251137269735,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.06686970378849288,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02488975013175454,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",4
0.007296661371871238,0.20000000298023224,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.058959841408248614,0.30000001192092896,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.0804921293863412,0.4000000059604645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.016965353935217975,0.5,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5
0.02093383909115598,0.0,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.08269118012769727,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.08688698471465983,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01873675320672774,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6
0.006535031142348657,0.0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.028338149167769444,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.023407129708367336,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.03445353305426835,0.0,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.013210325177161697,0.10000000149011612,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",2
0.023761491738753193,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.051148259395884965,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.062142659607147266,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.057482077556722466,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02029414651423167,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.06662388773759931,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",6
