Loss,State,Policy,Hamming_distance
0.015265386410998394,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.008506360951779257,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.014980346053242055,0.10000000149011612,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.012993105801307081,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.009941588648960414,0.30000001192092896,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.008305814511601284,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.01686285183560443,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.006081912512284137,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.016984999391878516,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.009515610803507726,0.30000001192092896,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.012487544513180349,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.007896597525412774,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.01198240649175375,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.011813920308142878,0.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10
0.007161827288573619,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",4
0.013352327315934609,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0067769374344927025,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.008433026100480245,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.010004467390700711,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.009563332310062123,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.01438865479962076,0.0,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]",5
0.004746549034905456,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.008965214501866825,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.011840696831981745,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.010194984512430949,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.003802774479879645,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00828611137776214,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.01149347053073757,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005873955660367969,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0081729364441685,0.20000000298023224,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.005674974418099055,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011562921087005407,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.007183521263954162,0.20000000298023224,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.005127033113236916,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0073125376394358454,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.009126793693908203,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.00472651779816502,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011822578164179642,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.010014379163650297,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004851479488278243,0.20000000298023224,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0070788507556280855,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.008606267819573077,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004971516828831346,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.010080695623299718,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.007803388594366911,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0065989824277323805,0.10000000149011612,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.005201156082804914,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.012005122287372494,0.0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.003664006513041329,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0044127925103860655,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00785248650765702,0.20000000298023224,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.0062129041220009285,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.0056524414432086445,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0061018926480640445,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0037920008683332007,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.006462917864123341,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0054182061669507675,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.007096725469453669,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005127889994186174,0.10000000149011612,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.006860428706054411,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.005126857191454004,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005539294158129593,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.007586132567919623,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004745336921342713,0.0,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.005089478281397497,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.003725617738660425,0.20000000298023224,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.007606429965317574,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004963383940109978,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004053041620054376,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.006552910562255931,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00599518060290638,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005115510393063903,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.0031783671458747165,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.0032732808728344054,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00695223689402269,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0027372192894248304,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.00728896062213267,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0035956918606387944,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0042377325897096085,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.004741533946958754,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.004496134877919111,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005934398076608005,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.003944776029672425,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004289026770859294,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005080186181232155,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0030757932816888375,0.10000000149011612,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.006743638871190338,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004771189175713522,0.10000000149011612,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.0032514553764007026,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.004000723742016987,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0034723000490305723,0.4000000059604645,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",4
0.007337941598606346,0.5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.0032272206156847005,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.004464014448050736,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.0035621128575726857,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.005132926948109295,0.30000001192092896,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",2
0.003969052747891055,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.005858871025452572,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
